GoldType,Buy,Sell,Timestamp,Day,Month,Year,Hour,Minute,Second
HSH,43950.0,44050.0,20250111163604,11,1,2025,16,36,4
HSH,43950.0,44050.0,20250111170001,11,1,2025,17,0,1
HSH,43950.0,44050.0,20250111171732,11,1,2025,17,17,32
HSH,43950.0,44050.0,20250111180551,11,1,2025,18,5,51
HSH,43950.0,44050.0,20250111190000,11,1,2025,19,0,0
HSH,43950.0,44050.0,20250111200507,11,1,2025,20,5,7
HSH,43950.0,44050.0,20250111210001,11,1,2025,21,0,1
HSH,43950.0,44050.0,20250111221053,11,1,2025,22,10,53
HSH,43950.0,44050.0,20250111230556,11,1,2025,23,5,56
HSH,43950.0,44050.0,20250112000400,12,1,2025,0,4,0
HSH,43950.0,44050.0,20250112010000,12,1,2025,1,0,0
HSH,43950.0,44050.0,20250112020730,12,1,2025,2,7,30
HSH,43950.0,44050.0,20250112031017,12,1,2025,3,10,17
HSH,43950.0,44050.0,20250112041008,12,1,2025,4,10,8
HSH,43950.0,44050.0,20250112050655,12,1,2025,5,6,55
HSH,43950.0,44050.0,20250112061016,12,1,2025,6,10,16
HSH,43950.0,44050.0,20250112070000,12,1,2025,7,0,0
HSH,43950.0,44050.0,20250112080908,12,1,2025,8,9,8
HSH,43950.0,44050.0,20250112090540,12,1,2025,9,5,40
HSH,43950.0,44050.0,20250112100000,12,1,2025,10,0,0
HSH,43950.0,44050.0,20250112110242,12,1,2025,11,2,42
HSH,43950.0,44050.0,20250112120935,12,1,2025,12,9,35
HSH,43950.0,44050.0,20250112130943,12,1,2025,13,9,43
HSH,43950.0,44050.0,20250112141201,12,1,2025,14,12,1
HSH,43950.0,44050.0,20250112150000,12,1,2025,15,0,0
